Specimen Collection Date,New Cases,Cumulative Cases,Data As Of,Data Loaded At
02/25/2022 12:00:00 AM,130,121629,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/05/2020 12:00:00 AM,6,8,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/08/2020 12:00:00 AM,1,14,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/11/2020 12:00:00 AM,9,29,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/14/2020 12:00:00 AM,10,64,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/17/2020 12:00:00 AM,27,143,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/20/2020 12:00:00 AM,35,219,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/23/2020 12:00:00 AM,33,295,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/26/2020 12:00:00 AM,43,423,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
03/29/2020 12:00:00 AM,14,487,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/01/2020 12:00:00 AM,40,625,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/04/2020 12:00:00 AM,15,704,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/07/2020 12:00:00 AM,57,848,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/10/2020 12:00:00 AM,28,1018,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/13/2020 12:00:00 AM,33,1092,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/16/2020 12:00:00 AM,30,1221,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/19/2020 12:00:00 AM,34,1309,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/22/2020 12:00:00 AM,32,1408,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
04/25/2020 12:00:00 AM,50,1540,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
